id,neighbourhood,latitude,longitude,room_type,accommodates,bedrooms,beds,bed_type,price,price_r,minimum_nights,review,reviews_per_month
8119395,Western Addition,37.78518235,-122.4428292,Entire home/apt,16,6,10,Real Bed,2250,Very High,2,Very High,0.47
7693322,Western Addition,37.77556314,-122.4345933,Entire home/apt,4,2,2,Real Bed,275,Very High,2,Low,0.15
2761733,Western Addition,37.77241039,-122.4269568,Entire home/apt,4,2,2,Real Bed,400,Very High,4,Very High,0.06
12346372,Western Addition,37.77588974,-122.4327449,Entire home/apt,5,2,2,Real Bed,179,High,30,Very High,0.25
8309401,Western Addition,37.77804539,-122.4381948,Private room,2,1,1,Real Bed,103,Medium,3,Medium,1.49
12208792,Western Addition,37.77260255,-122.4342517,Private room,1,1,1,Real Bed,90,Low,1,Very High,0.08
4069917,Western Addition,37.76941609,-122.4303164,Entire home/apt,2,1,2,Real Bed,225,High,3,High,1.72
4957143,Western Addition,37.77867523,-122.4348048,Entire home/apt,2,1,1,Real Bed,225,High,3,High,4.3
10527674,Western Addition,37.77611199,-122.4267279,Entire home/apt,5,3,3,Real Bed,1250,Very High,4,Medium,0.24
1696666,Western Addition,37.77721896,-122.4365559,Entire home/apt,6,4,5,Real Bed,650,Very High,1,Medium,2.49
6054817,Western Addition,37.77283439,-122.4352445,Entire home/apt,4,2,2,Real Bed,220,High,2,Medium,0.26
9888667,Western Addition,37.76952731,-122.4301087,Entire home/apt,6,3,4,Real Bed,275,Very High,3,Very High,0.13
467839,Western Addition,37.78881144,-122.4294086,Private room,2,1,2,Real Bed,105,Medium,2,Medium,0.75
1156649,Western Addition,37.77029087,-122.4293425,Entire home/apt,4,2,2,Real Bed,275,Very High,5,High,0.69
7950588,Western Addition,37.77524908,-122.431035,Private room,1,1,1,Real Bed,120,Medium,90,Very High,0.05
1598872,Western Addition,37.77014511,-122.4292922,Entire home/apt,2,1,1,Real Bed,225,High,5,High,0.46
845132,Western Addition,37.77218028,-122.4314363,Entire home/apt,5,3,3,Real Bed,335,Very High,3,Medium,1.11
25927,Western Addition,37.78894736,-122.4303064,Private room,2,1,1,Real Bed,110,Medium,2,Medium,0.67
4629368,Western Addition,37.78441699,-122.4426211,Private room,2,1,1,Futon,99,Low,1,Low,0.15
1827653,Western Addition,37.77793984,-122.4451156,Private room,2,1,1,Real Bed,115,Medium,2,High,3.03
8143404,Western Addition,37.77947792,-122.4348993,Entire home/apt,4,2,2,Real Bed,200,High,2,High,2.44
8889145,Western Addition,37.77872131,-122.4418654,Private room,1,1,1,Real Bed,103,Medium,1,High,2.42
1614622,Western Addition,37.78045102,-122.4454123,Private room,2,1,1,Real Bed,180,High,1,High,1.04
2319032,Western Addition,37.77325219,-122.4299395,Private room,2,1,1,Real Bed,95,Low,2,High,1.06
2499257,Western Addition,37.78294509,-122.444759,Entire home/apt,6,3,3,Real Bed,800,Very High,3,Medium,0.38
14787254,Western Addition,37.77195414,-122.4371405,Entire home/apt,4,1,2,Real Bed,159,High,2,Low,0.71
15911997,Western Addition,37.78229828,-122.4345993,Private room,4,1,2,Real Bed,80,Low,1,Very High,2.65
14869150,Western Addition,37.78517171,-122.4443816,Entire home/apt,3,1,1,Real Bed,200,High,2,Very High,0.63
10658401,Western Addition,37.77378979,-122.4227741,Entire home/apt,2,0,1,Real Bed,113,Medium,2,Very High,0.32
13788749,Western Addition,37.77796187,-122.4318567,Private room,2,1,1,Real Bed,75,Low,1,Medium,7.75
2483759,Western Addition,37.77688965,-122.4398761,Private room,1,1,1,Pull-out Sofa,95,Low,1,Medium,0.95
10608275,Western Addition,37.7789629,-122.4423244,Entire home/apt,4,2,2,Real Bed,250,High,4,Very High,0.22
8125277,Western Addition,37.78255464,-122.4381035,Entire home/apt,10,5,6,Real Bed,450,Very High,30,Medium,0.94
15164449,Western Addition,37.77009513,-122.4297203,Private room,1,1,1,Real Bed,150,Medium,1,Very High,1.17
10681909,Western Addition,37.78335911,-122.4426327,Private room,2,1,1,Real Bed,180,High,1,Very High,0.86
11674092,Western Addition,37.77418856,-122.4294364,Entire home/apt,4,1,3,Real Bed,220,High,4,Medium,1.05
10592126,Western Addition,37.78828617,-122.4219388,Private room,2,1,1,Real Bed,159,High,1,Very High,3.36
5852599,Western Addition,37.77650757,-122.4372043,Entire home/apt,4,2,2,Real Bed,300,Very High,3,High,1.66
8310194,Western Addition,37.78284079,-122.4310296,Private room,2,1,1,Real Bed,150,Medium,1,Medium,0.11
2374370,Western Addition,37.78784144,-122.4308222,Private room,3,1,1,Real Bed,99,Low,1,High,5.84
6922612,Western Addition,37.78526538,-122.4232064,Entire home/apt,2,1,1,Real Bed,135,Medium,3,High,0.56
9904455,Western Addition,37.775276,-122.4371776,Private room,2,1,1,Real Bed,89,Low,1,Medium,0.8
5213718,Western Addition,37.77313195,-122.4293173,Entire home/apt,3,1,1,Real Bed,200,High,1,Medium,1.16
12972076,Western Addition,37.78852571,-122.4260551,Private room,2,1,1,Airbed,80,Low,1,Medium,0.3
15116037,Western Addition,37.77725153,-122.4433106,Private room,1,1,1,Real Bed,70,Low,5,Low,0.31
6185160,Western Addition,37.78730503,-122.4453877,Entire home/apt,4,3,3,Real Bed,325,Very High,3,High,0.28
2154686,Western Addition,37.78046753,-122.4387921,Entire home/apt,4,2,2,Real Bed,195,High,1,High,0.46
5967901,Western Addition,37.77465863,-122.4270457,Entire home/apt,5,2,3,Real Bed,225,High,3,High,3.37
9860097,Western Addition,37.77800233,-122.443208,Private room,2,1,1,Real Bed,80,Low,1,Very High,0.13
6824042,Western Addition,37.78695211,-122.4383164,Private room,2,1,1,Real Bed,75,Low,2,Medium,0.19
1499238,Western Addition,37.77532589,-122.4314944,Entire home/apt,3,2,2,Real Bed,220,High,4,Medium,0.15
1810486,Western Addition,37.77333315,-122.432197,Entire home/apt,5,2,2,Real Bed,285,Very High,2,Medium,0.77
12623927,Western Addition,37.77153381,-122.4309908,Private room,2,1,1,Real Bed,113,Medium,1,Very High,1.34
